year_,changwat_id,changwat,male_thai,female_thai,total_thai,male,female,total,n_house
2564,46,กาฬสินธุ์,481324,493333,974657,481988,493582,975570,316604
2564,47,สกลนคร,568723,576489,1145212,569364,576922,1146286,396177
2564,48,นครพนม,356321,359075,715396,357096,359944,717040,235673
2564,49,มุกดาหาร,174224,174378,348602,175633,175851,351484,119972
2564,50,เชียงใหม่,782839,846869,1629708,864364,925021,1789385,852520
2564,51,ลำพูน,191108,207029,398137,192712,208427,401139,185253
2564,52,ลำปาง,351482,370476,721958,352894,371784,724678,298848
2564,53,อุตรดิตถ์,216960,228077,445037,217413,228735,446148,174440
2564,54,แพร่,209047,224897,433944,209403,225177,434580,180833
2564,55,น่าน,237168,236913,474081,237959,237916,475875,173216
2564,56,พะเยา,224789,237292,462081,225943,238562,464505,197593
2564,57,เชียงราย,570456,597927,1168383,630868,667557,1298425,569461
2564,58,แม่ฮ่องสอน,122290,119384,241674,144811,141105,285916,117497
2564,60,นครสวรรค์,503499,529559,1033058,504657,530371,1035028,426048
2564,61,อุทัยธานี,158694,165959,324653,158926,166190,325116,127506
2564,62,กำแพงเพชร,350700,359890,710590,351539,360604,712143,281829
2564,63,ตาก,273163,272366,545529,341966,334617,676583,228736
2564,64,สุโขทัย,283027,301609,584636,283429,301923,585352,222630
2564,65,พิษณุโลก,413591,432165,845756,414577,432807,847384,358036
2564,66,พิจิตร,257666,271109,528775,258012,271383,529395,200600
2564,67,เพชรบูรณ์,481017,495398,976415,482234,496138,978372,368998
2564,70,ราชบุรี,407758,434010,841768,421921,446360,868281,332214
2564,71,กาญจนบุรี,407209,409304,816513,448312,445742,894054,353679
2564,72,สุพรรณบุรี,401516,431334,832850,402883,432477,835360,311136
2564,73,นครปฐม,437025,474128,911153,442800,479371,922171,417915
2564,74,สมุทรสาคร,264740,287760,552500,282683,304106,586789,302618
2564,75,สมุทรสงคราม,90203,98860,189063,91101,99741,190842,73940
2564,76,เพชรบุรี,230494,248257,478751,232927,249948,482875,224570
